,customer_id,phone_number,Region
0,1,(+38)362782117,North
1,2,(+38)279184936,East
2,3,(+38)619282608,South
3,4,(+38)139064091,East
4,5,(+38)608745532,West
5,6,(+38)548925422,East
6,7,(+38)171029024,South
7,8,(+38)652592529,South
8,9,(+38)251950371,South
9,10,(+38)245898773,East
10,11,(+38)285166746,West
11,12,(+38)136087716,West
12,13,(+38)462568387,West
13,14,(+38)413821395,West
14,15,(+38)744252172,North
15,16,(+38)315900275,West
16,17,(+38)539498363,East
17,18,(+38)781128693,West
18,19,(+38)022929824,South
19,20,(+38)301923985,West
20,21,(+38)512484903,East
21,22,(+38)494432038,West
22,23,(+38)301021646,West
23,24,(+38)804724124,North
24,25,(+38)041162951,East
25,26,(+38)341403608,East
26,27,(+38)085562515,North
27,28,(+38)304400723,South
28,29,(+38)651083905,West
29,30,(+38)149985208,South
30,31,(+38)940060735,North
31,32,(+38)792253975,East
32,33,(+38)270704807,East
33,34,(+38)787065706,South
34,35,(+38)893996800,North
35,36,(+38)556227607,East
36,37,(+38)130987032,East
37,38,(+38)452073621,South
38,39,(+38)087533493,North
